Dlugosc-slowa,Czas-MD5,Czas-SHA1,Czas-SHA2-224,Czas-SHA2-256,Czas-SHA2-384,Czas-SHA2-512,Czas-SHA3-224,Czas-SHA3-256,Czas-SHA3-384,Czas-SHA3-512,,,,,,
100000,"3,89E-04","1,80E-04","1,52E-04","1,50E-04","3,15E-04","3,24E-04","5,20E-04","5,55E-04","6,70E-04","9,71E-04",,Dlugosc-slowa,Czas-MD5,,,
100000,"3,72E-04","1,62E-04","1,51E-04","1,50E-04","3,34E-04","3,08E-04","5,24E-04","5,53E-04","6,78E-04","9,68E-04",,100000,"3,65E-04",,,
100000,"3,52E-04","1,83E-04","1,52E-04","1,50E-04","3,15E-04","3,08E-04","5,32E-04","5,53E-04","6,66E-04","9,73E-04",,200000,"4,73E-04",,,
100000,"3,70E-04","1,62E-04","1,52E-04","1,50E-04","3,32E-04","3,09E-04","5,18E-04","5,55E-04","6,77E-04","9,67E-04",,300000,"4,38E-04",,,
100000,"3,53E-04","1,88E-04","1,53E-04","1,50E-04","3,15E-04","3,34E-04","5,19E-04","5,55E-04","6,68E-04","9,68E-04",,400000,"5,74E-04",,,
100000,"3,77E-04","1,63E-04","1,51E-04","1,50E-04","3,47E-04","3,10E-04","5,36E-04","5,83E-04","6,86E-04","9,74E-04",,500000,"7,12E-04",,,
100000,"3,52E-04","1,63E-04","1,51E-04","1,66E-04","3,15E-04","3,07E-04","5,31E-04","5,42E-04","6,80E-04","9,72E-04",,,,,,
100000,"3,79E-04","1,71E-04","1,51E-04","1,50E-04","3,14E-04","3,30E-04","5,19E-04","5,56E-04","6,67E-04","9,69E-04",,,,,,
100000,"3,76E-04","1,62E-04","1,52E-04","1,50E-04","3,14E-04","3,32E-04","5,19E-04","5,57E-04","6,79E-04","9,58E-04",,Dlugosc-slowa,Czas-SHA1,,,
100000,"3,53E-04","1,61E-04","1,51E-04","1,50E-04","3,35E-04","3,08E-04","5,36E-04","5,42E-04","6,78E-04","9,69E-04",,100000,"1,66E-04",,,
100000,"3,79E-04","1,62E-04","1,51E-04","1,50E-04","3,37E-04","3,08E-04","5,19E-04","5,53E-04","6,76E-04","9,66E-04",,200000,"2,11E-04",,,
100000,"3,75E-04","1,80E-04","1,51E-04","1,50E-04","3,14E-04","3,32E-04","5,19E-04","5,56E-04","6,66E-04","9,68E-04",,300000,"1,90E-04",,,
100000,"3,52E-04","1,62E-04","1,71E-04","1,50E-04","3,15E-04","3,08E-04","5,30E-04","5,42E-04","6,87E-04","9,69E-04",,400000,"2,47E-04",,,
100000,"3,54E-04","1,63E-04","1,51E-04","1,50E-04","3,35E-04","3,08E-04","5,36E-04","5,41E-04","6,79E-04","9,65E-04",,500000,"3,05E-04",,,
100000,"3,53E-04","1,62E-04","1,77E-04","1,54E-04","3,14E-04","3,08E-04","5,32E-04","5,41E-04","6,79E-04","9,77E-04",,,,,,
100000,"3,52E-04","1,84E-04","1,51E-04","1,50E-04","3,14E-04","3,21E-04","5,19E-04","5,61E-04","6,70E-04","9,69E-04",,,,,,
100000,"3,87E-04","1,74E-04","1,51E-04","1,50E-04","3,14E-04","3,25E-04","5,19E-04","5,54E-04","6,65E-04","9,97E-04",,Dlugosc-slowa,Czas-SHA2-224,Czas-SHA2-256,Czas-SHA2-384,Czas-SHA2-512
100000,"3,76E-04","1,62E-04","1,51E-04","1,50E-04","3,14E-04","3,23E-04","5,19E-04","5,53E-04","6,66E-04","9,74E-04",,100000,"1,55E-04","1,53E-04","3,21E-04","3,15E-04"
100000,"3,80E-04","1,62E-04","1,51E-04","1,50E-04","3,28E-04","3,08E-04","5,10E-04","5,61E-04","6,97E-04","9,91E-04",,200000,"2,05E-04","2,06E-04","4,28E-04","4,27E-04"
100000,"3,83E-04","1,62E-04","1,52E-04","1,50E-04","3,14E-04","3,32E-04","5,20E-04","5,54E-04","6,79E-04","9,56E-04",,300000,"1,90E-04","1,89E-04","3,97E-04","3,95E-04"
100000,"3,79E-04","1,63E-04","1,52E-04","1,50E-04","3,31E-04","3,08E-04","5,19E-04","5,53E-04","6,76E-04","9,72E-04",,400000,"2,52E-04","2,52E-04","5,29E-04","5,24E-04"
100000,"3,74E-04","1,63E-04","1,51E-04","1,50E-04","3,36E-04","3,15E-04","5,36E-04","5,53E-04","6,89E-04","9,75E-04",,500000,"3,15E-04","3,14E-04","6,57E-04","6,55E-04"
100000,"3,82E-04","1,63E-04","1,51E-04","1,50E-04","3,14E-04","3,23E-04","5,19E-04","5,53E-04","6,68E-04","9,68E-04",,,,,,
100000,"3,77E-04","1,77E-04","1,51E-04","1,50E-04","3,14E-04","3,32E-04","5,20E-04","5,59E-04","6,69E-04","9,74E-04",,,,,,
100000,"3,80E-04","1,63E-04","1,52E-04","1,50E-04","3,34E-04","3,08E-04","5,19E-04","5,56E-04","6,79E-04","9,67E-04",,Dlugosc-slowa,Czas-SHA3-224,Czas-SHA3-256,Czas-SHA3-384,Czas-SHA3-512
100000,"3,52E-04","1,61E-04","1,51E-04","1,50E-04","3,32E-04","3,08E-04","5,30E-04","5,41E-04","6,83E-04","9,69E-04",,100000,"5,27E-04","5,52E-04","6,77E-04","9,73E-04"
100000,"3,69E-04","1,62E-04","1,73E-04","1,50E-04","3,14E-04","3,08E-04","5,30E-04","5,42E-04","6,80E-04","9,68E-04",,200000,"7,15E-04","7,50E-04","9,24E-04","1,33E-03"
100000,"3,75E-04","1,63E-04","1,51E-04","1,50E-04","3,35E-04","3,08E-04","5,21E-04","5,59E-04","6,81E-04","9,67E-04",,300000,"6,61E-04","6,97E-04","8,60E-04","1,23E-03"
100000,"3,52E-04","1,69E-04","1,59E-04","1,50E-04","3,37E-04","3,08E-04","5,32E-04","5,41E-04","6,76E-04","9,66E-04",,400000,"8,87E-04","9,30E-04","1,15E-03","1,67E-03"
100000,"3,80E-04","1,63E-04","1,52E-04","1,50E-04","3,29E-04","3,08E-04","5,19E-04","5,53E-04","6,78E-04","9,77E-04",,500000,"1,10E-03","1,16E-03","1,43E-03","2,06E-03"
